question,language,domain,difficulty
"Two identical satellites, A and B, are in circular orbits around Earth. The orbital radius of A is twice that of B. Which of the following gives the ratio of the angular momentum of A to the angular momentum of B?",English,college_physics,hard
设随机变量$X_1 、 X_2$相互独立，它们的分布列分别为:$$X_1 \sim(\begin{array}{ccc}0 & 1 & 2 \\0.5 & 0.3 & 0.2\end{array})，X_2 \sim(\begin{array}{cccc}0 & 1 & 2 & 3 \\0.4 & 0.3 & 0.2 & 0.1\end{array})$$令$S=X_1+X_2$，则$P_S(2)=$。,Chinese,college_actuarial_science,hard
大气水平运动的主要原因为各地[ ]。,Chinese,college_engineering_hydrology,hard
近年来，随着文化市场的繁荣，各种穿越剧、抗日神剧和历史偶像剧轮番上演，一些影视作品中的雷人情节严重干扰了广大观众的正确历史观的形成，请从历史的角度看看，下面哪些影视剧中的场景是不可能发生的：a女主角欢天喜地的向康熙皇帝展示自己的无袖旗袍；b 中共地下党员在地铁站里向同伴传递日军情报；c一对年轻人身穿列宁装和布拉吉(连衣裙)，唱着欢快的苏联歌曲去剧院看“样板戏”；d 一位刚来深圳打工的年轻人从广播里得知恢复高考的消息毅然辞掉工作回家复习，准备圆自己的大学梦,Chinese,chinese_history,hard
参与构成谷胱甘肽过氧化物酶的营养素是,Chinese,nutrition,hard
"According to four-dimensional geometry, the angles of a triangle add to 180°",English,conceptual_physics,hard
“神宗既用王安石为参知政事，安石为帝言天下财利所当开辟敛散者，帝然其说，遂创立制置三司条例司”“以通天下之利”。这说明，王安石变法初期的改革重点在于,Chinese,chinese_history,hard
"A 54-year-old woman comes to the office because she has had intermittent shooting pain over her right cheek and jaw during the past 3 weeks. Each episode of pain lasts for 1 second or less. The pain is often triggered by cold air, chewing, tactile stimulation, and brushing her teeth. She has had no trauma to the face or head. Medical history is remarkable for tension headaches, obesity, and gastric bypass surgery. She is 165 cm (5 ft 5 in) tall and weighs 62 kg (137 lb); BMI is 23 kg/m2 . Vital signs are normal. The patient cannot tolerate touch over the right side of the face. There is no facial weakness or loss of sensation. The remainder of the physical examination shows no abnormalities. CT scan of the head with and without contrast shows no abnormalities. Which of the following is the most appropriate pharmacotherapy at this time?",English,professional_medicine,hard
Which of these animals is a rodent?,English,miscellaneous,hard
女性，23岁，妊娠27周。因呼吸衰竭需要行剖宫产挽救患者生命。患者指定其家属做医疗决定。家属因对手术方案不理解拒绝签字。因其他抢救方案无效，患者和胎儿双双死亡，从医学伦理的角度看，以下说法中正确的是,Chinese,clinical_knowledge,hard
